adj.P.Val,logFC,P.Value
0.9947273519,-0.1934064429,0.8625889223
0.996,0.060802294,0.911
0.7095091533,-0.5356708601,0.1788206296
0.9907892138,0.2341154742,0.7967643512
0.9350110575,-0.1088422692,0.5238782429
0.9812641871,0.1439379019,0.7181940461
0.9423075493,-0.1874263121,0.5455620668
0.8974337168,0.122603764,0.4202705048
0.9466007376,-0.5669459854,0.5672100533
0.9818080567,-0.452828325,0.7319206008
0.9193366303,0.1363948274,0.4738249818
0.9935944417,-0.0341096688,0.8421971794
0.9856489845,0.1880979097,0.7641552525
0.9947273519,0.0498923598,0.8654583696
0.9060811184,-0.226042321,0.4389129846
0.8705968493,-0.2448938502,0.3704608482
0.5845826582,-0.7099202289,0.1057761347
0.2735214345,0.5822894722,0.0206214689
0.9233941115,-0.1899844625,0.4918304597
0.9947273519,0.1152263043,0.867244376
0.8634451138,-0.1415149889,0.350615225
0.8780766066,0.2148033421,0.3850523502
0.9947273519,0.1359753952,0.8761550297
0.9941325127,0.0838589197,0.8531015
0.7944347183,-0.1774698923,0.2556594003
0.330894164,-0.6264170036,0.0302651696
0.8966765934,-0.2825799291,0.4187354306
0.9941325127,0.1788792893,0.8534340597
0.9938911829,-0.0522792723,0.845087751
0.9995327291,-0.0111373419,0.9733701774
0.9899079886,-0.3328670706,0.7936055523
0.8764980157,-0.5740187571,0.3812554319
0.9983906907,-0.0213899292,0.9400672498
0.9716886724,0.3754189581,0.667125212
0.9959164045,-0.0208752378,0.9141076181
0.9485256906,-0.4770426588,0.5741116704
0.7954934028,-0.7367492846,0.2569819954
0.7039362429,-0.4684003636,0.1746645242
0.2296661294,-0.635667933,0.0152286764
0.0890930297,-1.6927297188,0.0031891205
0.9770103795,0.1653309379,0.7013340013
0.8993978862,-0.1449755991,0.4248130526
0.9162590831,-0.2126741866,0.4669057962
0.9914308548,0.0558969011,0.802728803
0.8664021672,-0.2796839411,0.3593148639
0.9856489845,-0.0661770132,0.7584184079
0.7531853926,0.3752263901,0.2168992665
0.00000017,4.3988379818,4.78E-10
0.869325085,-0.276332239,0.3667054785
0.862013176,-0.9160045207,0.3473463508
0.8003135892,-0.4021479002,0.2639130277
0.9994796892,0.018072003,0.9674324378
0.7790505167,-0.7279776155,0.2419387652
0.4823479012,-0.2710800864,0.0671819606
0.9216576025,0.6313827342,0.4814543769
0.9772821719,0.0537660543,0.7023859226
0.9916692318,-0.1618871585,0.822281887
0.9831211826,0.044249374,0.7435138059
0.9976544164,-0.0525866637,0.9338664007
0.5531695172,-1.0075924602,0.0929929613
0.8963129492,-0.1191677463,0.416794766
0.9935944417,0.0956475357,0.8424751842
0.9947273519,0.060737777,0.8764716981
0.9832003854,0.1395616504,0.7440078187
0.7473484803,-0.7437966758,0.2106553014
0.951241135,0.2661479498,0.5843079453
0.8330466405,0.5725320701,0.3044940924
0.9999047411,0.0035849021,0.99557419
0.9935944417,-0.1141456753,0.8432775465
0.9947273519,-0.1486317638,0.8611153772
0.93642937,-0.5431579001,0.5283709989
0.9916692318,0.178122763,0.8124203051
0.8673870785,-0.2944960779,0.3621411189
0.9757604457,0.1776802219,0.6930482278
0.9856489845,0.2120575245,0.7580391879
0.945654101,-0.3115939073,0.5619733118
0.91927379,-0.242772522,0.4735993338
0.5741579293,0.5315665257,0.1014570568
0.9894172686,0.3072592866,0.7908591356
0.6353026251,0.582710005,0.1293045166
0.93642937,-0.7084047661,0.5291625537
0.9216899322,-0.823065006,0.4841315405
0.9378004581,0.3660129843,0.5321301144
0.9841384795,-0.2793274481,0.7495105453
0.9889591608,0.2482972495,0.7862239733
0.9418744555,-0.201848912,0.5434599413
0.9726936825,0.1733477172,0.6729058122
0.9676350952,0.3165672094,0.6480675112
0.7224785478,1.0211357036,0.1893704062
0.9973745623,0.1462217068,0.9253070448
0.9664389209,0.1973510298,0.637765282
0.4803620445,-0.5605166905,0.0666444823
0.9899079886,-0.2804329976,0.7939341285
0.9451469706,-0.1887008482,0.5574720904
0.6812386216,-0.1864200832,0.1605723896
0.9828008356,0.2346944296,0.7396481257
0.972,0.1073095337,0.6681732977
0.8349532677,-0.5341211185,0.3068181601
0.8305160306,-0.2512414362,0.301346021
0.8705968493,0.1508103625,0.3703971885
0.6390055677,-0.2920086737,0.1309863006
0.9077655341,-0.2360310782,0.4422830817
0.9226172133,-0.2980268268,0.4881130174
0.9935944417,-0.090174146,0.8356727552
0.9947273519,-0.0450751021,0.8686768854
0.7650830803,-0.8400110184,0.2277419715
0.8378825929,0.4050715375,0.3119797763
0.889228984,-0.363318171,0.4058432965
0.9686422036,0.2638993448,0.6534165348
0.3642477641,1.2859138381,0.036995355
0.2248662454,-0.5844348119,0.0147105646
0.9910042415,0.1618842794,0.7989578315
0.9916692318,0.0324983002,0.8096979324
0.9856489845,0.0977323878,0.763658873
0.9887610293,-0.1766904748,0.779465676
0.9817401931,-0.3237846851,0.7311861311
0.2938963085,-0.5929825,0.0240874826
0.9885180582,-0.1832643638,0.7762604777
0.9800078258,0.0628536657,0.7130012513
0.8888035794,0.1267525012,0.4040004853
0.8458583488,-0.1715589476,0.322409191
0.7098215352,0.1783277803,0.1792884178
0.9916692318,0.1183675951,0.80576688
0.2950727938,0.5291464264,0.0243676225
0.7277628587,-0.6316013323,0.1930880538
0.933478007,0.0848582988,0.5193420357
0.9994796892,-0.0618591496,0.9652932296
0.8883921777,-0.1699763181,0.4031854757
1,0.0062660901,0.989289895
0.2595745002,-0.3057000214,0.0187113049
0.9672051386,-0.3289613955,0.6433389764
0.955153316,0.2414352391,0.5994271242
0.968,-0.2134821094,0.6452811523
